,model,layer,accuracy,experiment
653,alexnet,ReLU-6,1,curv
654,alexnet,ReLU-6,1,curv
655,alexnet,ReLU-6,1,curv
656,alexnet,ReLU-6,1,curv
657,alexnet,ReLU-6,1,curv
658,alexnet,ReLU-6,1,curv
659,alexnet,ReLU-6,1,curv
660,alexnet,ReLU-6,1,curv
661,alexnet,ReLU-6,1,curv
662,alexnet,ReLU-6,1,curv
663,alexnet,ReLU-6,1,curv
664,alexnet,ReLU-6,1,curv
665,alexnet,ReLU-6,1,curv
666,alexnet,ReLU-6,1,curv
667,alexnet,ReLU-6,1,curv
668,alexnet,ReLU-6,1,curv
669,alexnet,ReLU-6,1,curv
670,alexnet,ReLU-6,1,curv
671,alexnet,ReLU-6,1,curv
672,alexnet,ReLU-6,1,curv
673,alexnet,ReLU-6,1,curv
674,alexnet,ReLU-6,1,curv
675,alexnet,ReLU-6,1,curv
676,alexnet,ReLU-6,1,curv
677,alexnet,ReLU-6,1,curv
678,alexnet,ReLU-6,1,curv
679,alexnet,ReLU-6,1,curv
680,alexnet,ReLU-6,1,curv
681,alexnet,ReLU-6,1,curv
682,alexnet,ReLU-6,1,curv
683,alexnet,ReLU-6,1,curv
684,alexnet,ReLU-6,1,curv
685,alexnet,ReLU-6,1,curv
686,alexnet,ReLU-6,1,curv
687,alexnet,ReLU-6,1,curv
688,alexnet,ReLU-6,1,curv
689,alexnet,ReLU-6,1,curv
690,alexnet,ReLU-6,1,curv
691,alexnet,ReLU-6,1,curv
692,alexnet,ReLU-6,1,curv
693,alexnet,ReLU-6,1,curv
694,alexnet,ReLU-6,1,curv
695,alexnet,ReLU-6,1,curv
696,alexnet,ReLU-6,1,curv
697,alexnet,ReLU-6,1,curv
698,alexnet,ReLU-6,1,curv
699,alexnet,ReLU-6,1,curv
700,alexnet,ReLU-6,1,curv
701,alexnet,ReLU-6,1,curv
702,alexnet,ReLU-6,1,curv
703,alexnet,ReLU-6,1,curv
704,alexnet,ReLU-6,1,curv
705,alexnet,ReLU-6,1,curv
706,alexnet,ReLU-6,0,curv
707,alexnet,ReLU-6,1,curv
708,alexnet,ReLU-6,0,curv
709,alexnet,ReLU-6,1,curv
710,alexnet,ReLU-6,1,curv
711,alexnet,ReLU-6,0,curv
712,alexnet,ReLU-6,1,curv
713,alexnet,ReLU-6,1,curv
714,alexnet,ReLU-6,1,curv
715,alexnet,ReLU-6,1,curv
716,alexnet,ReLU-6,1,curv
717,alexnet,ReLU-6,1,curv
718,alexnet,ReLU-6,1,curv
719,alexnet,ReLU-6,1,curv
720,alexnet,ReLU-7,1,curv
721,alexnet,ReLU-7,0,curv
722,alexnet,ReLU-7,0,curv
723,alexnet,ReLU-7,0,curv
724,alexnet,ReLU-7,1,curv
725,alexnet,ReLU-7,0,curv
726,alexnet,ReLU-7,0,curv
727,alexnet,ReLU-7,0,curv
728,alexnet,ReLU-7,1,curv
729,alexnet,ReLU-7,1,curv
730,alexnet,ReLU-7,1,curv
