,model,layer,accuracy
545,alexnet,ReLU-5,0.75
546,alexnet,ReLU-5,1.0
547,alexnet,ReLU-5,1.0
548,alexnet,ReLU-5,1.0
549,alexnet,ReLU-5,0.75
550,alexnet,ReLU-5,1.0
551,alexnet,ReLU-5,0.75
552,alexnet,ReLU-5,1.0
553,alexnet,ReLU-5,1.0
554,alexnet,ReLU-5,1.0
555,alexnet,ReLU-5,1.0
556,alexnet,ReLU-5,1.0
557,alexnet,ReLU-5,1.0
558,alexnet,ReLU-5,1.0
559,alexnet,ReLU-5,1.0
560,alexnet,ReLU-5,1.0
561,alexnet,ReLU-5,1.0
562,alexnet,ReLU-5,1.0
563,alexnet,ReLU-5,1.0
564,alexnet,ReLU-5,1.0
565,alexnet,ReLU-5,1.0
566,alexnet,ReLU-5,1.0
567,alexnet,ReLU-5,1.0
568,alexnet,ReLU-5,1.0
569,alexnet,ReLU-5,1.0
570,alexnet,ReLU-5,1.0
571,alexnet,ReLU-5,1.0
572,alexnet,ReLU-5,1.0
573,alexnet,ReLU-5,1.0
574,alexnet,ReLU-5,1.0
575,alexnet,ReLU-5,1.0
576,alexnet,ReLU-5,1.0
577,alexnet,ReLU-5,1.0
578,alexnet,ReLU-5,1.0
579,alexnet,ReLU-5,1.0
580,alexnet,ReLU-5,1.0
581,alexnet,ReLU-5,1.0
582,alexnet,ReLU-5,1.0
583,alexnet,ReLU-5,1.0
584,alexnet,ReLU-5,1.0
585,alexnet,ReLU-5,1.0
586,alexnet,ReLU-5,1.0
587,alexnet,ReLU-5,1.0
588,alexnet,ReLU-5,1.0
589,alexnet,ReLU-5,1.0
590,alexnet,ReLU-5,1.0
591,alexnet,ReLU-5,1.0
592,alexnet,ReLU-5,1.0
593,alexnet,ReLU-5,1.0
594,alexnet,ReLU-5,1.0
595,alexnet,ReLU-5,1.0
596,alexnet,ReLU-5,1.0
597,alexnet,ReLU-5,1.0
598,alexnet,ReLU-5,1.0
599,alexnet,ReLU-5,1.0
600,alexnet,ReLU-6,0.75
601,alexnet,ReLU-6,1.0
602,alexnet,ReLU-6,1.0
603,alexnet,ReLU-6,1.0
604,alexnet,ReLU-6,0.75
605,alexnet,ReLU-6,1.0
606,alexnet,ReLU-6,0.75
607,alexnet,ReLU-6,0.75
608,alexnet,ReLU-6,1.0
609,alexnet,ReLU-6,0.75
610,alexnet,ReLU-6,1.0
611,alexnet,ReLU-6,1.0
612,alexnet,ReLU-6,1.0
613,alexnet,ReLU-6,0.75
614,alexnet,ReLU-6,1.0
615,alexnet,ReLU-6,1.0
616,alexnet,ReLU-6,1.0
617,alexnet,ReLU-6,1.0
618,alexnet,ReLU-6,0.75
619,alexnet,ReLU-6,0.75
620,alexnet,ReLU-6,1.0
621,alexnet,ReLU-6,1.0
622,alexnet,ReLU-6,1.0
623,alexnet,ReLU-6,1.0
624,alexnet,ReLU-6,1.0
625,alexnet,ReLU-6,1.0
626,alexnet,ReLU-6,1.0
627,alexnet,ReLU-6,1.0
628,alexnet,ReLU-6,1.0
629,alexnet,ReLU-6,1.0
630,alexnet,ReLU-6,1.0
631,alexnet,ReLU-6,1.0
632,alexnet,ReLU-6,1.0
633,alexnet,ReLU-6,1.0
634,alexnet,ReLU-6,1.0
635,alexnet,ReLU-6,1.0
636,alexnet,ReLU-6,1.0
637,alexnet,ReLU-6,1.0
638,alexnet,ReLU-6,1.0
639,alexnet,ReLU-6,1.0
640,alexnet,ReLU-6,1.0
641,alexnet,ReLU-6,1.0
642,alexnet,ReLU-6,1.0
643,alexnet,ReLU-6,1.0
644,alexnet,ReLU-6,1.0
645,alexnet,ReLU-6,1.0
646,alexnet,ReLU-6,1.0
647,alexnet,ReLU-6,1.0
648,alexnet,ReLU-6,1.0
649,alexnet,ReLU-6,1.0
650,alexnet,ReLU-6,1.0
651,alexnet,ReLU-6,1.0
652,alexnet,ReLU-6,1.0
653,alexnet,ReLU-6,1.0
654,alexnet,ReLU-6,1.0
655,alexnet,ReLU-6,1.0
656,alexnet,ReLU-6,1.0
657,alexnet,ReLU-6,1.0
658,alexnet,ReLU-6,1.0
659,alexnet,ReLU-6,1.0
660,alexnet,ReLU-6,1.0
661,alexnet,ReLU-6,1.0
662,alexnet,ReLU-6,1.0
663,alexnet,ReLU-6,1.0
664,alexnet,ReLU-6,1.0
665,alexnet,ReLU-6,1.0
666,alexnet,ReLU-6,1.0
667,alexnet,ReLU-6,1.0
668,alexnet,ReLU-6,0.75
669,alexnet,ReLU-6,1.0
670,alexnet,ReLU-6,1.0
671,alexnet,ReLU-6,1.0
672,alexnet,ReLU-6,1.0
673,alexnet,ReLU-6,1.0
674,alexnet,ReLU-6,1.0
675,alexnet,ReLU-6,0.75
676,alexnet,ReLU-6,1.0
677,alexnet,ReLU-6,1.0
678,alexnet,ReLU-6,1.0
679,alexnet,ReLU-6,1.0
680,alexnet,ReLU-6,1.0
681,alexnet,ReLU-6,1.0
682,alexnet,ReLU-6,1.0
683,alexnet,ReLU-6,1.0
684,alexnet,ReLU-6,1.0
685,alexnet,ReLU-6,1.0
686,alexnet,ReLU-6,1.0
687,alexnet,ReLU-6,1.0
688,alexnet,ReLU-6,1.0
689,alexnet,ReLU-6,1.0
690,alexnet,ReLU-6,1.0
691,alexnet,ReLU-6,1.0
692,alexnet,ReLU-6,1.0
693,alexnet,ReLU-6,1.0
694,alexnet,ReLU-6,1.0
695,alexnet,ReLU-6,1.0
696,alexnet,ReLU-6,1.0
697,alexnet,ReLU-6,1.0
698,alexnet,ReLU-6,1.0
699,alexnet,ReLU-6,1.0
700,alexnet,ReLU-6,1.0
701,alexnet,ReLU-6,1.0
702,alexnet,ReLU-6,1.0
